TH-2016-Hospital-Patient Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Patient Room-Ventilation,90.1-2007 - Hospital - PatRoom People Definition,90.1-2007-Hospital-Patient Room-Lights Definition
TH-2016-Hospital-Operating Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Operating Room-Ventilation,90.1-2007 - Hospital - OR People Definition,90.1-2007-Hospital-Operating Room-Lights Definition
TH-2016-Hospital-Emergency Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Emergency Room-Ventilation,90.1-2007 - Hospital - ER_Exam People Definition,90.1-2007-Hospital-Emergency Room-Lights Definition
TH-2016-Hospital-ICU,Thai Hospital Schedule Set,TH-MinReg39-Hospital-ICU-Ventilation,90.1-2007 - Hospital - ICU_Open People Definition,90.1-2007-Hospital-ICU-Lights Definition
TH-2016-Hospital-Pharmacy,Thai Hospital Schedule Set,EIT-2016-Hospital-Pharmacy-Ventilation,EIT-2016-Hospital-Pharmacy-People Definition,90.1-2007-Hospital-Pharmacy-Lights Definition
TH-2016-Hospital-Conference,Thai Hospital Schedule Set,EIT-2016-Hospital-Conference-Ventilation,EIT-2016-Hospital-Conference-People Definition,90.1-2007-Hospital-Conference-Lights Definition
TH-2016-Hospital-Corridor,Thai Hospital Schedule Set,EIT-2016-Hospital-Corridor-Ventilation,EIT-2016-Hospital-Corridor-People Definition,90.1-2007-Hospital-Corridor-Lights Definition
TH-2016-Hospital-Office space,Thai Hospital Schedule Set,EIT-2016-Hospital-Office space-Ventilation,EIT-2016-Hospital-Office space-People Definition,90.1-2007-Hospital-Office space-Lights Definition
TH-2016-Hospital-Restaurant-Dining,Thai Hospital Schedule Set,EIT-2016-Hospital-Restaurant-Dining-Ventilation,EIT-2016-Hospital-Restaurant-Dining-People Definition,90.1-2007-Hospital-Restaurant-Dining-Lights Definition
TH-2016-Hospital-Cafeteria/Fast-food dining,Thai Hospital Schedule Set,EIT-2016-Hospital-Cafeteria/Fast-food dining-Ventilation,EIT-2016-Hospital-Cafeteria/Fast-food dining-People Definition,90.1-2007-Hospital-Cafeteria/Fast-food dining-Lights Definition
TH-2016-Hospital-Kitchen,Thai Hospital Schedule Set,EIT-2016-Hospital-Kitchen-Ventilation,EIT-2016-Hospital-Kitchen-People Definition,90.1-2007-Hospital-Kitchen-Lights Definition
TH-2016-Hospital-Laundry,Thai Hospital Schedule Set,EIT-2016-Hospital-Laundry-Ventilation,EIT-2016-Hospital-Laundry-People Definition,90.1-2007-Hospital-Laundry-Lights Definition
TH-2016-Edu-Daycare (through age 4),Thai Education Facility Schedule Set,EIT-2016- Edu-Daycare (through age 4)-,EIT-2016- Edu-Daycare (through age 4)-People Definition,90.1-2007- Edu-Daycare (through age 4)-Lights Definition
TH-2016-Edu-Daycare sickroom,Thai Education Facility Schedule Set,EIT-2016- Edu-Daycare sickroom-Ventilation,EIT-2016- Edu-Daycare sickroom-People Definition,90.1-2007- Edu-Daycare sickroom-Lights Definition
TH-2016-Edu-Classroom (age 5-8),Thai Education Facility Schedule Set,EIT-2016- Edu-Classroom (age 5-8)-Ventilation,EIT-2016- Edu-Classroom (age 5-8)-People Definition,90.1-2007- Edu-Classroom (age 5-8)-Lights Definition
